ID;Date;Full-time-working;Part-time-working;Member-of-NGO;Other-busyness;Digital-skills;Using-calendar;Daybook;Notebook;Desktop-calendar;Wall-mounted-calendar;Mobile-phone;PC;Tablet;Other-Tool;Having always by side;Icons & signs;Classification of items;Archiving artworks;Archiving books;All in a single calendar;All spaces utilizable;Showing former entries;Showing tasks I have finished;Easy comprehension;Fast insertion;Visual simplicity;Aesthetics;Empty space for free writing;Working offline;Reminding with notifications;Not disturbing with notifications;Change of day widths;Change of activity colors;Change of visible time span;Change of background;All spaces utilizable - Digital;makes me tidier;makes me feel good;manages my relationships;fun;makes me learn new things;provides self-fostering;makes me proud;enables self-expression;provides self-confidence;provides the joy of nostalgia;provides the joy of being served;I like doing multiple things at the same time;People should not do more than one thing at a time;If I reserve an evening for studying, I study a single course;Preparing multiple projects/homework at the same time boosts my creativity;I spare time for social activities while I am attending courses in a semester;What I do in each day of the week is determined;I perpetually note the timings of courses' homework, projects, presentations etc.;I decide on my weekend plans during the week;I don't like making changes my plans;I search courses' hours and difficulties before term registrations start;I have difficulty in following deadlines of courses' homework, projects, presentations etc.;I prefer working in a team rather than working alone;I like spending my spare time on my own;Socializing with people makes me happy;I don't like to be alone;Group activities come about pleasant;The time spent with others is usually more entertaining than the time spent alone ;Crowded places and activities are exhaustive;I focus on the future, rather than the past experiences;I frequently think about what I will do as a job in the future;I dream about the future ;It is important that a person thinks about and plan the current time;Those living the moment succeed;Sometimes I think about the past and what I would do differently;Sometimes I remember what I achieved so far and be proud of myself;POLY;PLAN;SOCI;TEMP
2;26.05.2016 09:25;0;1;1;;3;1;1;0;0;0;1;0;0;;4;3;3;1;1;5;4;4;4;4;4;5;5;4;4;5;5;4;4;4;1;5;4;4;2;3;2;4;4;3;4;2;3;1;4;4;1;4;1;4;3;5;4;2;4;5;2;1;4;4;3;2;5;5;4;4;2;4;-0.5;0.25;-0.29;0.3
3;26.05.2016 09:37;1;0;0;;4;1;0;1;0;0;0;1;0;;5;5;5;5;3;5;4;5;4;5;5;5;4;4;4;4;4;;4;5;4;5;5;4;5;3;3;5;5;3;5;5;5;5;2;2;2;5;4;3;5;2;4;4;4;1;5;5;5;1;4;2;4;4;5;2;4;4;0.5;0.17;0.71;-0.1
5;26.05.2016 09:20;1;0;0;;5;1;1;0;0;0;0;0;0;;1;1;1;1;2;2;2;2;3;3;3;3;4;4;4;4;5;5;5;5;4;3;1;2;2;3;3;3;3;4;5;5;1;1;2;2;3;4;4;5;5;4;3;2;1;2;3;3;4;3;2;2;2;2;2;2;2;2;0.1;0.58;0.07;-0.1
6;26.05.2016 09:27;0;1;0;;5;1;0;0;0;0;1;0;0;Microsoft Office;4;4;4;3;3;4;4;4;4;4;4;4;4;4;5;4;3;3;3;4;2;4;4;4;4;2;3;4;4;4;4;3;4;4;3;2;4;4;4;3;3;2;4;2;2;3;4;2;4;2;2;4;4;4;4;3;4;3;0.4;0.17;0.14;0.2
7;26.05.2016 09:24;1;0;0;;4;1;0;1;0;0;0;0;0;;5;4;4;2;2;5;5;4;4;4;4;4;4;3;5;4;3;4;5;3;3;4;5;5;5;3;3;5;3;3;3;3;3;5;3;3;4;5;3;5;4;3;3;3;1;2;5;2;5;3;1;3;5;5;4;3;4;3;0.5;0.25;0.29;0.3
8;26.05.2016 09:25;0;1;1;;5;1;0;1;0;0;1;1;0;;4;3;3;1;1;5;4;2;2;5;4;4;4;4;5;4;4;2;4;4;1;4;4;1;1;2;2;2;2;3;4;2;4;4;2;2;4;5;4;4;3;2;2;1;1;2;5;3;4;1;2;4;1;5;4;3;2;4;0.6;0.17;0.36;0.1
12;26.05.2016 09:29;1;0;0;;3;1;0;0;1;0;1;0;0;;4;4;3;3;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;5;3;4;4;3;2;3;2;3;4;4;3;3;3;4;2;3;2;4;4;3;4;4;4;1;3;3;4;2;3;2;2;5;4;4;3;3;3;3;0.2;0.5;0.14;0.4
15;26.05.2016 09:35;0;0;1;;3;0;0;0;0;0;1;1;0;;4;4;5;4;3;3;3;4;4;4;4;4;3;3;5;4;3;4;4;4;2;4;4;3;4;2;4;4;3;1;3;4;4;4;2;2;3;5;2;2;4;4;2;4;5;4;3;1;4;4;3;4;4;5;5;4;5;4;0.5;-0.17;-0.07;0.1
16;26.05.2016 09:39;0;0;1;;3;0;0;0;0;0;1;0;0;;5;4;2;5;5;5;2;4;5;5;5;4;3;3;5;5;3;4;3;4;2;3;5;2;5;4;2;3;5;4;4;5;5;2;3;5;2;5;4;3;3;5;4;5;3;3;5;3;5;3;4;2;3;5;5;3;4;5;-0.2;0.17;0.21;-0.2
17;26.05.2016 09:42;1;0;0;;4;1;1;1;0;0;0;1;0;;5;4;4;3;3;5;5;5;3;4;4;3;4;3;4;5;2;4;5;4;2;4;5;3;4;3;3;4;4;2;2;4;2;2;4;4;3;5;3;5;2;3;3;2;2;2;5;3;4;2;5;4;3;5;4;4;2;3;-0.1;0.17;0.14;0.4
19;26.05.2016 09:42;1;0;0;;4;1;1;0;1;0;1;1;0;;3;2;4;2;1;4;4;2;2;4;4;4;4;4;5;5;4;3;3;3;1;5;4;4;3;4;2;4;2;2;4;2;3;2;4;2;2;5;2;3;2;4;4;4;4;4;4;2;4;3;5;4;4;4;4;2;3;4;0;-0.08;-0.07;0.2
20;26.05.2016 09:46;1;0;0;;5;1;1;1;1;0;1;1;0;;5;4;3;4;2;4;4;4;4;4;4;4;4;4;5;5;2;4;4;3;2;4;4;4;4;3;3;4;4;2;3;3;2;3;2;2;2;4;4;4;3;3;4;1;2;2;4;3;4;3;3;4;4;4;4;2;4;4;0.2;0.42;0.14;0.1
29;26.05.2016 09:53;0;0;1;;3;1;0;1;1;0;1;0;0;;4;4;2;5;5;5;5;4;4;4;2;4;4;2;5;4;4;2;3;4;3;4;4;4;3;4;2;4;4;4;2;3;2;4;1;4;4;5;4;4;3;4;5;2;3;3;4;3;4;3;2;3;4;4;5;4;3;4;0.5;0.5;0.21;0.1
33;26.05.2016 10:15;0;1;1;;4;1;1;0;1;0;1;0;0;;5;5;5;4;4;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;3;5;5;5;5;5;5;5;5;5;5;3;3;5;2;2;4;5;5;5;5;5;5;1;5;2;5;3;5;2;3;5;5;5;5;3;5;5;0.7;1;0.57;0.2
34;26.05.2016 10:18;0;0;1;;2;1;0;0;0;0;1;0;0;;4;4;4;3;2;5;4;3;3;5;4;4;4;4;5;5;2;3;4;4;3;4;5;4;3;2;1;3;2;1;2;2;2;2;4;4;2;5;1;4;4;4;2;3;1;5;4;2;4;3;4;4;2;5;5;1;2;2;-0.2;0;-0.29;0.4
35;26.05.2016 10:18;1;0;0;;5;1;0;0;0;0;1;1;1;;5;4;4;3;2;5;4;5;5;5;5;5;5;4;5;5;5;4;5;;1;4;4;3;4;3;2;4;3;2;3;5;3;4;1;3;4;5;3;4;2;2;3;1;3;2;5;4;3;3;4;4;3;4;4;4;4;4;0.6;0.08;0.21;0
38;26.05.2016 10:32;0;0;0;;4;1;0;0;1;0;1;0;0;Post-it;4;4;4;3;3;4;4;3;3;4;4;4;4;4;5;4;4;4;4;5;3;4;4;3;3;3;2;4;3;3;3;2;2;2;4;4;2;2;2;4;1;5;4;2;2;5;3;2;3;4;4;4;4;4;4;3;3;3;-0.5;0.17;-0.43;0.3
39;26.05.2016 10:51;0;1;1;;3;1;0;0;1;0;1;0;0;;3;4;4;4;2;4;4;2;4;4;4;4;4;4;4;5;2;4;3;4;2;4;4;3;2;3;2;4;4;2;2;4;3;4;2;4;3;5;4;3;4;4;3;3;3;2;4;2;4;3;3;4;2;3;4;2;4;2;0.3;0.25;0.14;0
41;26.05.2016 10:55;1;0;0;;5;1;0;0;0;1;1;1;0;;4;4;5;4;3;4;4;4;4;5;5;5;3;4;5;4;4;5;5;5;1;5;5;5;4;3;1;5;1;3;3;1;1;5;1;2;3;5;1;4;4;4;2;1;4;3;4;3;4;2;3;5;5;5;5;3;4;3;0.7;0.17;0.29;0.5
44;26.05.2016 11:00;0;0;1;;3;1;1;0;0;0;1;0;0;;3;3;4;4;3;4;4;3;4;4;4;3;4;4;4;4;3;4;4;4;3;4;4;4;3;4;3;4;4;3;4;3;4;3;3;2;4;4;3;4;3;4;4;3;3;2;4;3;4;3;3;3;4;4;5;4;4;4;0.3;0.25;0.21;0
